name,imgurl
Addhemar Sierralta,addhemar_sierralta
Augusto Guerra,augusto_guerra
César Blanco,cesar_blanco
Eduardo Borrero,eduardo_borrero
Elizabeth Caballero,elizabeth_caballero
Ezequiel Valenzuela,ezequiel_valenzuela
Gonzalo Dávila,gonzalo_davila
Guillermo Hourritini,guillermo_hourritiner
Gustavo Ramírez,gustavo_ramirez
Henry Rivas,rodolfo_sanchez
Henry Alvitres,henry_alvitres
Jamilton Loja,jamilton_loja
Jorge Aliaga,jorge_aliaga
Jorge Diaz Herrera,jorge_diaz_herrera
Juan José Cavero,juan_jose_cavero
Julio Benavides,julio_benavides
Luciano Ácleman,luciano_acleman
Luis Enrique Mendoza,luis_enrique_mendoza
María Campos,maria_campos
Marino Quinto,marino_quinto
Manuel Navazar,manuel_navazar
Marino Arbocco,manuel_arbocco
Marianella Sáenz,marianella_saenz
Max Huamán,max_huaman
Olger Huamaní,olger_huamani
Orlando Gutierrez,orlando_gutierrez
Pedro Chung,pedro_chung
Ricardo Falconi,ricardo_falconi
Ricardo More,ricardo_more
Sergio Rufo,sergio_rufo
Teodoro Guzmán,teodoro_guzman
Umbelina Michuy Suyo,umbelina_michuy_suyo
Winston Orrillo,winston_orrillo
